Competence,TypeTag,Tag,AnnotationTime,FinalAnnotationTime,Game,User,SequenceOrder,Level,Group,Replay
scale_shapes,Global,3,,,Shadowspect,Morissa J.S.,13,Bird Fez,VeraB,Bird Fez~1
locate_shapes,Global,2,,,Shadowspect,Morissa J.S.,13,Bird Fez,VeraB,Bird Fez~1
action_seq,Global,3,,,Shadowspect,Morissa J.S.,13,Bird Fez,VeraB,Bird Fez~1
rotation,Global,1,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
cam_perspective,Global,2,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
snapshots,Global,1,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
prim_shapes,Global,3,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
scale_shapes,Global,3,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
locate_shapes,Global,3,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
action_seq,Global,3,,,Shadowspect,Morissa J.S.,14,Pi Henge,VeraB,Pi Henge~1
rotation,Global,1,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
cam_perspective,Global,2,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
snapshots,Global,3,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
prim_shapes,Global,4,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
scale_shapes,Global,2,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
locate_shapes,Global,3,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
action_seq,Global,3,,,Shadowspect,engineer217,25,Pi Henge,VeraB,Pi Henge~1
rotation,Global,2,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
cam_perspective,Global,1,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
snapshots,Global,1,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
prim_shapes,Global,0,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
scale_shapes,Global,3,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
locate_shapes,Global,4,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
action_seq,Global,2,,,Shadowspect,engineer217,27,Pyramids are Strange,VeraB,Pyramids are Strange~1
rotation,Global,3,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
cam_perspective,Global,3,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
snapshots,Global,3,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
prim_shapes,Global,4,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
scale_shapes,Global,4,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
locate_shapes,Global,2,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
action_seq,Global,3,,,Shadowspect,engineer217,35,Angled Silhouette,VeraB,Angled Silhouette~2
rotation,Global,4,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
cam_perspective,Global,2,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
snapshots,Global,3,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
prim_shapes,Global,0,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
scale_shapes,Global,0,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
locate_shapes,Global,4,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
action_seq,Global,3,,,Shadowspect,engineer217,61,45-Degree Rotations,VeraB,45-Degree Rotations~7
rotation,Global,4,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
cam_perspective,Global,3,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
snapshots,Global,3,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
prim_shapes,Global,4,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
scale_shapes,Global,4,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
locate_shapes,Global,4,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
action_seq,Global,3,,,Shadowspect,engineer217,75,Bird Fez,VeraB,Bird Fez~6
rotation,Global,0,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
cam_perspective,Global,3,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
snapshots,Global,3,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
prim_shapes,Global,4,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
scale_shapes,Global,4,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
locate_shapes,Global,2,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
action_seq,Global,3,,,Shadowspect,Wuduju,13,Pi Henge,VeraB,Pi Henge~1
rotation,Global,3,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
cam_perspective,Global,2,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
snapshots,Global,4,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
prim_shapes,Global,0,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
scale_shapes,Global,0,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
locate_shapes,Global,2,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
action_seq,Global,2,,,Shadowspect,Wuduju,14,45-Degree Rotations,VeraB,45-Degree Rotations~1
rotation,Global,4,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
cam_perspective,Global,2,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
snapshots,Global,1,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
prim_shapes,Global,0,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
scale_shapes,Global,4,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
locate_shapes,Global,4,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
action_seq,Global,3,,,Shadowspect,Wuduju,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
rotation,Global,4,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
cam_perspective,Global,2,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
snapshots,Global,2,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
prim_shapes,Global,2,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
scale_shapes,Global,4,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
locate_shapes,Global,4,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
action_seq,Global,2,,,Shadowspect,B.Cheesy12,11,Bird Fez,VeraB,Bird Fez~1
rotation,Global,0,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
cam_perspective,Global,2,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
snapshots,Global,3,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
prim_shapes,Global,4,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
scale_shapes,Global,4,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
locate_shapes,Global,4,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
action_seq,Global,3,,,Shadowspect,B.Cheesy12,12,Pi Henge,VeraB,Pi Henge~1
rotation,Global,4,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
cam_perspective,Global,3,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
snapshots,Global,3,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
prim_shapes,Global,0,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
scale_shapes,Global,0,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
locate_shapes,Global,4,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
action_seq,Global,3,,,Shadowspect,B.Cheesy12,13,45-Degree Rotations,VeraB,45-Degree Rotations~1
rotation,Global,4,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
cam_perspective,Global,3,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
snapshots,Global,3,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
prim_shapes,Global,0,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
scale_shapes,Global,4,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
locate_shapes,Global,4,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
action_seq,Global,4,,,Shadowspect,B.Cheesy12,15,Pyramids are Strange,VeraB,Pyramids are Strange~2
rotation,Global,1,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
cam_perspective,Global,1,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
snapshots,Global,1,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
prim_shapes,Global,2,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
scale_shapes,Global,2,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
locate_shapes,Global,2,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
action_seq,Global,2,,,Shadowspect,B.Cheesy12,20,Angled Silhouette,VeraB,Angled Silhouette~1
rotation,Global,4,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
cam_perspective,Global,3,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
snapshots,Global,4,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
prim_shapes,Global,3,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
scale_shapes,Global,4,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
locate_shapes,Global,4,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
action_seq,Global,3,,,Shadowspect,Thekasdkaed,13,Bird Fez,EloiseauA,Bird Fez~1
rotation,Global,0,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
cam_perspective,Global,3,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
snapshots,Global,4,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
prim_shapes,Global,4,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
scale_shapes,Global,3,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
locate_shapes,Global,4,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
action_seq,Global,3,,,Shadowspect,Thekasdkaed,14,Pi Henge,EloiseauA,Pi Henge~1
rotation,Global,4,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
snapshots,Global,4,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
cam_perspective,Global,4,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
prim_shapes,Global,0,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
scale_shapes,Global,0,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
locate_shapes,Global,4,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
action_seq,Global,4,,,Shadowspect,Thekasdkaed,15,45-Degree Rotations,EloiseauA,45-Degree Rotations~1
rotation,Global,3,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
cam_perspective,Global,2,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
snapshots,Global,4,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
prim_shapes,Global,0,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
scale_shapes,Global,1,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
locate_shapes,Global,4,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
action_seq,Global,2,,,Shadowspect,Thekasdkaed,16,Pyramids are Strange,EloiseauA,Pyramids are Strange~1
rotation,Global,4,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
cam_perspective,Global,3,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
snapshots,Global,4,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
prim_shapes,Global,3,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
scale_shapes,Global,4,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
locate_shapes,Global,4,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
action_seq,Global,4,,,Shadowspect,Thekasdkaed,21,Angled Silhouette,EloiseauA,Angled Silhouette~1
rotation,Global,4,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
cam_perspective,Global,3,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
snapshots,Global,3,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
prim_shapes,Global,3,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
scale_shapes,Global,4,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
locate_shapes,Global,3,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
action_seq,Global,3,,,Shadowspect,purple_someone,41,Bird Fez,EloiseauA,Bird Fez~3
rotation,Global,1,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
cam_perspective,Global,3,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
snapshots,Global,3,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
prim_shapes,Global,2,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
scale_shapes,Global,4,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
locate_shapes,Global,2,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
action_seq,Global,2,,,Shadowspect,purple_someone,42,Pi Henge,EloiseauA,Pi Henge~3
rotation,Global,3,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
cam_perspective,Global,3,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
snapshots,Global,3,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
prim_shapes,Global,0,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
scale_shapes,Global,4,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
locate_shapes,Global,4,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
action_seq,Global,4,,,Shadowspect,purple_someone,49,Pyramids are Strange,EloiseauA,Pyramids are Strange~3
rotation,Global,3,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
cam_perspective,Global,3,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
snapshots,Global,4,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
prim_shapes,Global,4,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
scale_shapes,Global,4,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
locate_shapes,Global,3,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
action_seq,Global,3,,,Shadowspect,BubbleBops,15,Bird Fez,EloiseauA,Bird Fez~2
rotation,Global,0,,,Shadowspect,BubbleBops,16,Pi Henge,EloiseauA,Pi Henge~1
cam_perspective,Global,3,,,Shadowspect,BubbleBops,16,Pi Henge,EloiseauA,Pi Henge~1
snapshots,Global,4,,,Shadowspect,BubbleBops,16,Pi Henge,EloiseauA,Pi Henge~1
